typeCode,freqCode,refYear,refMonth,period,reporterDesc,flowDesc,partnerDesc,cmdCode,cmdDesc,qtyUnitAbbr,qty,netWgt,primaryValue
C,M,2021,1,202101,India,Export,World,91030,Spices; turmeric (curcuma),kg,12214920,12214920,14197029.55
C,M,2021,1,202101,India,Export,Algeria,91030,Spices; turmeric (curcuma),kg,422000,422000,352008.732
C,M,2021,1,202101,India,Export,Angola,91030,Spices; turmeric (curcuma),kg,420,420,776.186
C,M,2021,1,202101,India,Export,Argentina,91030,Spices; turmeric (curcuma),kg,2000,2000,2273.898
C,M,2021,1,202101,India,Export,Australia,91030,Spices; turmeric (curcuma),kg,100274,100274,235485.628
C,M,2021,1,202101,India,Export,Bahrain,91030,Spices; turmeric (curcuma),kg,69423,69423,80737.903
C,M,2021,1,202101,India,Export,Bangladesh,91030,Spices; turmeric (curcuma),kg,2509560,2509560,2099753.676
C,M,2021,1,202101,India,Export,Belgium,91030,Spices; turmeric (curcuma),kg,24950,24950,38472.271
C,M,2021,1,202101,India,Export,Bhutan,91030,Spices; turmeric (curcuma),kg,1771,1771,3993.791
C,M,2021,1,202101,India,Export,Botswana,91030,Spices; turmeric (curcuma),kg,20,20,53.004
C,M,2021,1,202101,India,Export,Brazil,91030,Spices; turmeric (curcuma),kg,116500,116500,136798.893
C,M,2021,1,202101,India,Export,Brunei Darussalam,91030,Spices; turmeric (curcuma),kg,500,500,739.24
C,M,2021,1,202101,India,Export,Myanmar,91030,Spices; turmeric (curcuma),kg,55000,55000,51257.529
C,M,2021,1,202101,India,Export,Belarus,91030,Spices; turmeric (curcuma),kg,720,720,2310.516
C,M,2021,1,202101,India,Export,Cameroon,91030,Spices; turmeric (curcuma),kg,8000,8000,12263.04
C,M,2021,1,202101,India,Export,Canada,91030,Spices; turmeric (curcuma),kg,121521,121521,199819.061
C,M,2021,1,202101,India,Export,Cayman Isds,91030,Spices; turmeric (curcuma),kg,1,1,2.845
C,M,2021,1,202101,India,Export,Sri Lanka,91030,Spices; turmeric (curcuma),kg,6450,6450,4610.8
C,M,2021,1,202101,India,Export,Chile,91030,Spices; turmeric (curcuma),kg,14071,14071,13119.327
C,M,2021,1,202101,India,Export,China,91030,Spices; turmeric (curcuma),kg,10,10,94.286
C,M,2021,1,202101,India,Export,Colombia,91030,Spices; turmeric (curcuma),kg,27075,27075,38473.968
C,M,2021,1,202101,India,Export,Dem. Rep. of the Congo,91030,Spices; turmeric (curcuma),kg,200,200,583.333
C,M,2021,1,202101,India,Export,Costa Rica,91030,Spices; turmeric (curcuma),kg,4000,4000,8693.282
C,M,2021,1,202101,India,Export,Croatia,91030,Spices; turmeric (curcuma),kg,12000,12000,11871.493
C,M,2021,1,202101,India,Export,Denmark,91030,Spices; turmeric (curcuma),kg,5200,5200,6660.809
C,M,2021,1,202101,India,Export,Dominican Rep.,91030,Spices; turmeric (curcuma),kg,7900,7900,11719.115
C,M,2021,1,202101,India,Export,Ecuador,91030,Spices; turmeric (curcuma),kg,12000,12000,21939.19
C,M,2021,1,202101,India,Export,Fiji,91030,Spices; turmeric (curcuma),kg,5750,5750,7079.084
C,M,2021,1,202101,India,Export,Finland,91030,Spices; turmeric (curcuma),kg,1000,1000,2252.136
C,M,2021,1,202101,India,Export,France,91030,Spices; turmeric (curcuma),kg,120629,120629,169043.375
C,M,2021,1,202101,India,Export,Djibouti,91030,Spices; turmeric (curcuma),kg,1000,1000,1127.149
C,M,2021,1,202101,India,Export,Georgia,91030,Spices; turmeric (curcuma),kg,400,400,704.141
C,M,2021,1,202101,India,Export,Germany,91030,Spices; turmeric (curcuma),kg,458652,458652,693765.845
C,M,2021,1,202101,India,Export,Ghana,91030,Spices; turmeric (curcuma),kg,60,60,139.384
C,M,2021,1,202101,India,Export,Greece,91030,Spices; turmeric (curcuma),kg,2035,2035,4156.196
C,M,2021,1,202101,India,Export,Guatemala,91030,Spices; turmeric (curcuma),kg,10200,10200,15846.804
C,M,2021,1,202101,India,Export,Guinea,91030,Spices; turmeric (curcuma),kg,80,80,208.036
C,M,2021,1,202101,India,Export,Guyana,91030,Spices; turmeric (curcuma),kg,3,3,5.157
C,M,2021,1,202101,India,Export,"China, Hong Kong SAR",91030,Spices; turmeric (curcuma),kg,13930,13930,19390.299
C,M,2021,1,202101,India,Export,Indonesia,91030,Spices; turmeric (curcuma),kg,239700,239700,286602.077
C,M,2021,1,202101,India,Export,Iran,91030,Spices; turmeric (curcuma),kg,234000,234000,202076.559
C,M,2021,1,202101,India,Export,Iraq,91030,Spices; turmeric (curcuma),kg,245000,245000,196101.549
C,M,2021,1,202101,India,Export,Ireland,91030,Spices; turmeric (curcuma),kg,104,104,385.774
C,M,2021,1,202101,India,Export,Israel,91030,Spices; turmeric (curcuma),kg,22300,22300,27842.553
C,M,2021,1,202101,India,Export,Italy,91030,Spices; turmeric (curcuma),kg,23518,23518,92958.115
C,M,2021,1,202101,India,Export,Côte d'Ivoire,91030,Spices; turmeric (curcuma),kg,150,150,376.323
C,M,2021,1,202101,India,Export,Japan,91030,Spices; turmeric (curcuma),kg,222564,222564,371770.415
C,M,2021,1,202101,India,Export,Kazakhstan,91030,Spices; turmeric (curcuma),kg,300,300,260.493
C,M,2021,1,202101,India,Export,Jordan,91030,Spices; turmeric (curcuma),kg,19000,19000,16480.925
C,M,2021,1,202101,India,Export,Kenya,91030,Spices; turmeric (curcuma),kg,4730,4730,6851.583
C,M,2021,1,202101,India,Export,Rep. of Korea,91030,Spices; turmeric (curcuma),kg,108027,108027,187074.005
C,M,2021,1,202101,India,Export,Kuwait,91030,Spices; turmeric (curcuma),kg,100911,100911,124670.805
C,M,2021,1,202101,India,Export,Libya,91030,Spices; turmeric (curcuma),kg,101000,101000,89323.275
C,M,2021,1,202101,India,Export,Malawi,91030,Spices; turmeric (curcuma),kg,600,600,973.129
C,M,2021,1,202101,India,Export,Malaysia,91030,Spices; turmeric (curcuma),kg,446970,446970,462059.132
C,M,2021,1,202101,India,Export,Maldives,91030,Spices; turmeric (curcuma),kg,1449,1449,2362.768
C,M,2021,1,202101,India,Export,Mauritania,91030,Spices; turmeric (curcuma),kg,100,100,306.261
C,M,2021,1,202101,India,Export,Mauritius,91030,Spices; turmeric (curcuma),kg,32066,32066,32378.901
C,M,2021,1,202101,India,Export,Mexico,91030,Spices; turmeric (curcuma),kg,96000,96000,161161.994
C,M,2021,1,202101,India,Export,"Other Asia, nes",91030,Spices; turmeric (curcuma),kg,30520,30520,38381.775
C,M,2021,1,202101,India,Export,Mongolia,91030,Spices; turmeric (curcuma),kg,40,40,25.716
C,M,2021,1,202101,India,Export,Morocco,91030,Spices; turmeric (curcuma),kg,1466250,1466250,1346931.114
C,M,2021,1,202101,India,Export,Mozambique,91030,Spices; turmeric (curcuma),kg,200,200,413.966
C,M,2021,1,202101,India,Export,Oman,91030,Spices; turmeric (curcuma),kg,103930,103930,115401.467
C,M,2021,1,202101,India,Export,Nepal,91030,Spices; turmeric (curcuma),kg,185802,185802,194092.657
C,M,2021,1,202101,India,Export,Netherlands,91030,Spices; turmeric (curcuma),kg,182735,182735,297690.682
C,M,2021,1,202101,India,Export,New Zealand,91030,Spices; turmeric (curcuma),kg,8930,8930,27637.061
C,M,2021,1,202101,India,Export,Nigeria,91030,Spices; turmeric (curcuma),kg,900,900,1670.828
C,M,2021,1,202101,India,Export,Norway,91030,Spices; turmeric (curcuma),kg,3890,3890,6172.993
C,M,2021,1,202101,India,Export,Panama,91030,Spices; turmeric (curcuma),kg,250,250,449.379
C,M,2021,1,202101,India,Export,Peru,91030,Spices; turmeric (curcuma),kg,4000,4000,5018.679
C,M,2021,1,202101,India,Export,Philippines,91030,Spices; turmeric (curcuma),kg,15840,15840,35095.107
C,M,2021,1,202101,India,Export,Poland,91030,Spices; turmeric (curcuma),kg,27000,27000,37470.418
C,M,2021,1,202101,India,Export,Portugal,91030,Spices; turmeric (curcuma),kg,30000,30000,47546.377
C,M,2021,1,202101,India,Export,Qatar,91030,Spices; turmeric (curcuma),kg,48983,48983,81529.285
C,M,2021,1,202101,India,Export,Russian Federation,91030,Spices; turmeric (curcuma),kg,46500,46500,41349.774
C,M,2021,1,202101,India,Export,Rwanda,91030,Spices; turmeric (curcuma),kg,250,250,265.732
C,M,2021,1,202101,India,Export,Saudi Arabia,91030,Spices; turmeric (curcuma),kg,317651,317651,337153.823
C,M,2021,1,202101,India,Export,Senegal,91030,Spices; turmeric (curcuma),kg,14300,14300,19585.45
C,M,2021,1,202101,India,Export,Seychelles,91030,Spices; turmeric (curcuma),kg,46,46,134.022
C,M,2021,1,202101,India,Export,Singapore,91030,Spices; turmeric (curcuma),kg,64867,64867,86413.354
C,M,2021,1,202101,India,Export,Slovakia,91030,Spices; turmeric (curcuma),kg,10,10,792.997
C,M,2021,1,202101,India,Export,Viet Nam,91030,Spices; turmeric (curcuma),kg,30500,30500,124351.85
C,M,2021,1,202101,India,Export,Slovenia,91030,Spices; turmeric (curcuma),kg,1000,1000,2225.148
C,M,2021,1,202101,India,Export,South Africa,91030,Spices; turmeric (curcuma),kg,206955,206955,250122.556
C,M,2021,1,202101,India,Export,Spain,91030,Spices; turmeric (curcuma),kg,179575,179575,210074.605
C,M,2021,1,202101,India,Export,Sweden,91030,Spices; turmeric (curcuma),kg,11650,11650,26013.588
C,M,2021,1,202101,India,Export,Switzerland,91030,Spices; turmeric (curcuma),kg,1125,1125,3407.408
C,M,2021,1,202101,India,Export,Syria,91030,Spices; turmeric (curcuma),kg,81000,81000,62362.903
C,M,2021,1,202101,India,Export,Thailand,91030,Spices; turmeric (curcuma),kg,3500,3500,6697.673
C,M,2021,1,202101,India,Export,Togo,91030,Spices; turmeric (curcuma),kg,150,150,358.308
C,M,2021,1,202101,India,Export,Trinidad and Tobago,91030,Spices; turmeric (curcuma),kg,21000,21000,24693.655
C,M,2021,1,202101,India,Export,United Arab Emirates,91030,Spices; turmeric (curcuma),kg,985881,985881,917642.06
C,M,2021,1,202101,India,Export,Tunisia,91030,Spices; turmeric (curcuma),kg,276500,276500,263126.875
C,M,2021,1,202101,India,Export,Türkiye,91030,Spices; turmeric (curcuma),kg,64800,64800,59946.406
C,M,2021,1,202101,India,Export,Ukraine,91030,Spices; turmeric (curcuma),kg,38100,38100,38545.027
C,M,2021,1,202101,India,Export,Egypt,91030,Spices; turmeric (curcuma),kg,308000,308000,257539.718
C,M,2021,1,202101,India,Export,United Kingdom,91030,Spices; turmeric (curcuma),kg,496033,496033,671873.873
C,M,2021,1,202101,India,Export,United Rep. of Tanzania,91030,Spices; turmeric (curcuma),kg,1830,1830,3251.664
C,M,2021,1,202101,India,Export,USA,91030,Spices; turmeric (curcuma),kg,889133,889133,2013681.668
C,M,2021,1,202101,India,Export,Venezuela,91030,Spices; turmeric (curcuma),kg,11000,11000,10328.765
C,M,2021,1,202101,India,Export,Yemen,91030,Spices; turmeric (curcuma),kg,20000,20000,18409.538
C,M,2021,1,202101,India,Export,Zambia,91030,Spices; turmeric (curcuma),kg,500,500,907.54
C,M,2021,2,202102,India,Export,World,91030,Spices; turmeric (curcuma),kg,12574897.45,12574897.45,15264843.67
C,M,2021,2,202102,India,Export,Algeria,91030,Spices; turmeric (curcuma),kg,255000,255000,232368.597
C,M,2021,2,202102,India,Export,Angola,91030,Spices; turmeric (curcuma),kg,546,546,1538.321
