typeCode,freqCode,refYear,refMonth,period,reporterDesc,flowDesc,partnerDesc,cmdCode,qtyUnitAbbr,qty,netWgt,primaryValue
C,M,2022,1,202201,India,Export,World,121190,kg,8782444.878,8782444.878,34793507.94
C,M,2022,1,202201,India,Export,Afghanistan,121190,kg,20000,20000,147502.585
C,M,2022,1,202201,India,Export,Algeria,121190,kg,1500,1500,6598.48
C,M,2022,1,202201,India,Export,Angola,121190,kg,10,10,41.734
C,M,2022,1,202201,India,Export,Argentina,121190,kg,23000,23000,29658.506
C,M,2022,1,202201,India,Export,Australia,121190,kg,55658,55658,347165.395
C,M,2022,1,202201,India,Export,Austria,121190,kg,80000,80000,388365.875
C,M,2022,1,202201,India,Export,Bahrain,121190,kg,1150,1150,5694.78
C,M,2022,1,202201,India,Export,Bangladesh,121190,kg,893773.086,893773.086,1342334.069
C,M,2022,1,202201,India,Export,Belgium,121190,kg,320880,320880,1545349.672
C,M,2022,1,202201,India,Export,Botswana,121190,kg,503,503,6363.982
C,M,2022,1,202201,India,Export,Brazil,121190,kg,6000,6000,29781.893
C,M,2022,1,202201,India,Export,Brunei Darussalam,121190,kg,14,14,129.513
C,M,2022,1,202201,India,Export,Myanmar,121190,kg,768,768,1415.639
C,M,2022,1,202201,India,Export,Canada,121190,kg,106420,106420,808481.664
C,M,2022,1,202201,India,Export,Sri Lanka,121190,kg,42051,42051,52099.216
C,M,2022,1,202201,India,Export,Chile,121190,kg,27500,27500,50588.988
C,M,2022,1,202201,India,Export,China,121190,kg,1022796,1022796,1425978.723
C,M,2022,1,202201,India,Export,Colombia,121190,kg,51000,51000,315309.581
C,M,2022,1,202201,India,Export,Congo,121190,kg,10,10,63.373
C,M,2022,1,202201,India,Export,Czechia,121190,kg,623,623,4774.477
C,M,2022,1,202201,India,Export,Estonia,121190,kg,500,500,44423.452
C,M,2022,1,202201,India,Export,Fiji,121190,kg,675,675,2819.122
C,M,2022,1,202201,India,Export,France,121190,kg,96447,96447,614858.303
C,M,2022,1,202201,India,Export,Germany,121190,kg,835050,835050,5095234.507
C,M,2022,1,202201,India,Export,Ghana,121190,kg,432,432,8047.726
C,M,2022,1,202201,India,Export,Greece,121190,kg,19444,19444,19393.739
C,M,2022,1,202201,India,Export,Guyana,121190,kg,1000,1000,1482.907
C,M,2022,1,202201,India,Export,"China, Hong Kong SAR",121190,kg,540,540,19020.205
C,M,2022,1,202201,India,Export,Hungary,121190,kg,3040,3040,17065.924
C,M,2022,1,202201,India,Export,Indonesia,121190,kg,171290,171290,419202.15
C,M,2022,1,202201,India,Export,Iran,121190,kg,129000,129000,296424.436
C,M,2022,1,202201,India,Export,Iraq,121190,kg,6325,6325,15581.768
C,M,2022,1,202201,India,Export,Ireland,121190,kg,46694,46694,337644.929
C,M,2022,1,202201,India,Export,Israel,121190,kg,1778,1778,12127.857
C,M,2022,1,202201,India,Export,Italy,121190,kg,144270,144270,729143.324
C,M,2022,1,202201,India,Export,Jamaica,121190,kg,2300,2300,3771.124
C,M,2022,1,202201,India,Export,Japan,121190,kg,291331,291331,651069.136
C,M,2022,1,202201,India,Export,Jordan,121190,kg,18000,18000,44623.779
C,M,2022,1,202201,India,Export,Kenya,121190,kg,4226,4226,13400.806
C,M,2022,1,202201,India,Export,Rep. of Korea,121190,kg,206337,206337,1417491.175
C,M,2022,1,202201,India,Export,Kuwait,121190,kg,3783,3783,43578.491
C,M,2022,1,202201,India,Export,Lao People's Dem. Rep.,121190,kg,5,5,116.551
C,M,2022,1,202201,India,Export,Latvia,121190,kg,14,14,275.533
C,M,2022,1,202201,India,Export,Liberia,121190,kg,20,20,227.016
C,M,2022,1,202201,India,Export,Libya,121190,kg,12000,12000,23919.145
C,M,2022,1,202201,India,Export,Lithuania,121190,kg,2900,2900,5160.517
C,M,2022,1,202201,India,Export,Malaysia,121190,kg,69668,69668,361095.319
C,M,2022,1,202201,India,Export,Maldives,121190,kg,970,970,8159.213
C,M,2022,1,202201,India,Export,Mali,121190,kg,52,52,501.542
C,M,2022,1,202201,India,Export,Mauritius,121190,kg,1331,1331,8067.982
C,M,2022,1,202201,India,Export,Mexico,121190,kg,123520,123520,372825.236
C,M,2022,1,202201,India,Export,"Other Asia, nes",121190,kg,67484,67484,297953.025
C,M,2022,1,202201,India,Export,Morocco,121190,kg,68400,68400,157170.159
C,M,2022,1,202201,India,Export,Oman,121190,kg,11145,11145,18075.067
C,M,2022,1,202201,India,Export,Nepal,121190,kg,43213.792,43213.792,30610.078
C,M,2022,1,202201,India,Export,Netherlands,121190,kg,16591,16591,124815.529
C,M,2022,1,202201,India,Export,Curaçao,121190,kg,2,2,28.704
C,M,2022,1,202201,India,Export,New Zealand,121190,kg,24009,24009,97673.6
C,M,2022,1,202201,India,Export,Nigeria,121190,kg,60,60,922.881
C,M,2022,1,202201,India,Export,Norway,121190,kg,346,346,10853.524
C,M,2022,1,202201,India,Export,Pakistan,121190,kg,19400,19400,172808.113
C,M,2022,1,202201,India,Export,Philippines,121190,kg,14690,14690,47676.54
C,M,2022,1,202201,India,Export,Poland,121190,kg,40500,40500,37569.668
C,M,2022,1,202201,India,Export,Portugal,121190,kg,6000,6000,10889.952
C,M,2022,1,202201,India,Export,Qatar,121190,kg,41185,41185,32550.497
C,M,2022,1,202201,India,Export,Romania,121190,kg,45,45,878.636
C,M,2022,1,202201,India,Export,Russian Federation,121190,kg,80059,80059,337419.229
C,M,2022,1,202201,India,Export,Saudi Arabia,121190,kg,105373,105373,127827.859
C,M,2022,1,202201,India,Export,Serbia,121190,kg,15100,15100,13093.828
C,M,2022,1,202201,India,Export,Singapore,121190,kg,25617,25617,105569.691
C,M,2022,1,202201,India,Export,Slovakia,121190,kg,31,31,1391.837
C,M,2022,1,202201,India,Export,Viet Nam,121190,kg,87720,87720,278040.215
C,M,2022,1,202201,India,Export,Slovenia,121190,kg,6500,6500,26094.411
C,M,2022,1,202201,India,Export,South Africa,121190,kg,4997,4997,15071.32
C,M,2022,1,202201,India,Export,Spain,121190,kg,103870,103870,503194.279
C,M,2022,1,202201,India,Export,Sweden,121190,kg,95160,95160,303624.581
