typeCode,freqCode,refYear,refMonth,period,reporterDesc,flowDesc,partnerDesc,cmdCode,cmdDesc,qtyUnitAbbr,qty,netWgt,primaryValue
C,M,2021,1,202101,India,Export,World,100829,"Cereals; millet, other than seed",kg,5821635,5821635,1572910.179
C,M,2021,1,202101,India,Export,Afghanistan,100829,"Cereals; millet, other than seed",kg,116000,116000,46183.274
C,M,2021,1,202101,India,Export,Australia,100829,"Cereals; millet, other than seed",kg,1160,1160,881.839
C,M,2021,1,202101,India,Export,Bahrain,100829,"Cereals; millet, other than seed",kg,157000,157000,39970.066
C,M,2021,1,202101,India,Export,Bangladesh,100829,"Cereals; millet, other than seed",kg,60000,60000,17476.268
C,M,2021,1,202101,India,Export,Brunei Darussalam,100829,"Cereals; millet, other than seed",kg,500,500,431.857
C,M,2021,1,202101,India,Export,Canada,100829,"Cereals; millet, other than seed",kg,43009,43009,21475.284
C,M,2021,1,202101,India,Export,Dem. Rep. of the Congo,100829,"Cereals; millet, other than seed",kg,1200,1200,167.179
C,M,2021,1,202101,India,Export,France,100829,"Cereals; millet, other than seed",kg,80,80,80.019
C,M,2021,1,202101,India,Export,Germany,100829,"Cereals; millet, other than seed",kg,500,500,519.208
C,M,2021,1,202101,India,Export,Ghana,100829,"Cereals; millet, other than seed",kg,520,520,368.991
C,M,2021,1,202101,India,Export,"China, Hong Kong SAR",100829,"Cereals; millet, other than seed",kg,3000,3000,692.323
C,M,2021,1,202101,India,Export,Israel,100829,"Cereals; millet, other than seed",kg,6000,6000,2530.808
C,M,2021,1,202101,India,Export,Japan,100829,"Cereals; millet, other than seed",kg,1500,1500,250.029
C,M,2021,1,202101,India,Export,Kenya,100829,"Cereals; millet, other than seed",kg,3000,3000,623.042
C,M,2021,1,202101,India,Export,Rep. of Korea,100829,"Cereals; millet, other than seed",kg,46000,46000,21273.13
C,M,2021,1,202101,India,Export,Kuwait,100829,"Cereals; millet, other than seed",kg,54400,54400,17119.875
C,M,2021,1,202101,India,Export,Libya,100829,"Cereals; millet, other than seed",kg,96000,96000,23962.252
C,M,2021,1,202101,India,Export,Malaysia,100829,"Cereals; millet, other than seed",kg,6060,6060,2901.016
C,M,2021,1,202101,India,Export,Maldives,100829,"Cereals; millet, other than seed",kg,10100,10100,5800.5
C,M,2021,1,202101,India,Export,"Other Asia, nes",100829,"Cereals; millet, other than seed",kg,47000,47000,22780.581
C,M,2021,1,202101,India,Export,Morocco,100829,"Cereals; millet, other than seed",kg,715000,715000,198304.593
C,M,2021,1,202101,India,Export,Mozambique,100829,"Cereals; millet, other than seed",kg,50,50,84.588
C,M,2021,1,202101,India,Export,Oman,100829,"Cereals; millet, other than seed",kg,124885,124885,31186.301
C,M,2021,1,202101,India,Export,Nepal,100829,"Cereals; millet, other than seed",kg,285510,285510,78691.669
C,M,2021,1,202101,India,Export,Netherlands,100829,"Cereals; millet, other than seed",kg,1220,1220,1358.821
C,M,2021,1,202101,India,Export,Nigeria,100829,"Cereals; millet, other than seed",kg,120,120,55.384
C,M,2021,1,202101,India,Export,Qatar,100829,"Cereals; millet, other than seed",kg,207530,207530,52750.85
C,M,2021,1,202101,India,Export,Rwanda,100829,"Cereals; millet, other than seed",kg,680,680,202.072
C,M,2021,1,202101,India,Export,Saudi Arabia,100829,"Cereals; millet, other than seed",kg,1011000,1011000,245725.674
C,M,2021,1,202101,India,Export,Singapore,100829,"Cereals; millet, other than seed",kg,1934,1934,1714.229
C,M,2021,1,202101,India,Export,Spain,100829,"Cereals; millet, other than seed",kg,50000,50000,14652.576
C,M,2021,1,202101,India,Export,United Arab Emirates,100829,"Cereals; millet, other than seed",kg,2535730,2535730,632095.115
C,M,2021,1,202101,India,Export,United Kingdom,100829,"Cereals; millet, other than seed",kg,233572,233572,89751.631
C,M,2021,1,202101,India,Export,United Rep. of Tanzania,100829,"Cereals; millet, other than seed",kg,475,475,127.62
C,M,2021,1,202101,India,Export,USA,100829,"Cereals; millet, other than seed",kg,900,900,721.513
C,M,2021,2,202102,India,Export,World,100829,"Cereals; millet, other than seed",kg,5408926,5408926,1438543.93
C,M,2021,2,202102,India,Export,Afghanistan,100829,"Cereals; millet, other than seed",kg,18000,18000,8788.853
C,M,2021,2,202102,India,Export,Algeria,100829,"Cereals; millet, other than seed",kg,168000,168000,42417.366
C,M,2021,2,202102,India,Export,Australia,100829,"Cereals; millet, other than seed",kg,3050,3050,2394.123
C,M,2021,2,202102,India,Export,Bahrain,100829,"Cereals; millet, other than seed",kg,147090,147090,35810.777
