typeCode,freqCode,refYear,refMonth,period,reporterDesc,flowDesc,partnerDesc,cmdCode,cmdDesc,qtyUnitAbbr,qty,netWgt,primaryValue
C,M,2020,1,202001,India,Export,World,100829,"Cereals; millet, other than seed",kg,2905464,2905464,1149720.252
C,M,2020,1,202001,India,Export,Afghanistan,100829,"Cereals; millet, other than seed",kg,160000,160000,76902.255
C,M,2020,1,202001,India,Export,Australia,100829,"Cereals; millet, other than seed",kg,2600,2600,2403.901
C,M,2020,1,202001,India,Export,Bahrain,100829,"Cereals; millet, other than seed",kg,240,240,251.348
C,M,2020,1,202001,India,Export,Brunei Darussalam,100829,"Cereals; millet, other than seed",kg,150,150,95.013
C,M,2020,1,202001,India,Export,Canada,100829,"Cereals; millet, other than seed",kg,18308,18308,10353.905
C,M,2020,1,202001,India,Export,Sri Lanka,100829,"Cereals; millet, other than seed",kg,204250,204250,82080.224
C,M,2020,1,202001,India,Export,Fiji,100829,"Cereals; millet, other than seed",kg,50,50,27.058
C,M,2020,1,202001,India,Export,Guinea,100829,"Cereals; millet, other than seed",kg,90,90,112.579
C,M,2020,1,202001,India,Export,"China, Hong Kong SAR",100829,"Cereals; millet, other than seed",kg,210,210,166.934
C,M,2020,1,202001,India,Export,Iran,100829,"Cereals; millet, other than seed",kg,120000,120000,61430.372
C,M,2020,1,202001,India,Export,Israel,100829,"Cereals; millet, other than seed",kg,17000,17000,7288.953
C,M,2020,1,202001,India,Export,Kenya,100829,"Cereals; millet, other than seed",kg,1000,1000,197.54
C,M,2020,1,202001,India,Export,Kuwait,100829,"Cereals; millet, other than seed",kg,50820,50820,18388.532
C,M,2020,1,202001,India,Export,Libya,100829,"Cereals; millet, other than seed",kg,75000,75000,28192.242
C,M,2020,1,202001,India,Export,Malaysia,100829,"Cereals; millet, other than seed",kg,640,640,367.895
C,M,2020,1,202001,India,Export,Maldives,100829,"Cereals; millet, other than seed",kg,6050,6050,3956.881
C,M,2020,1,202001,India,Export,"Other Asia, nes",100829,"Cereals; millet, other than seed",kg,143000,143000,63988.239
C,M,2020,1,202001,India,Export,Morocco,100829,"Cereals; millet, other than seed",kg,144000,144000,56264.684
C,M,2020,1,202001,India,Export,Oman,100829,"Cereals; millet, other than seed",kg,750,750,436.34
C,M,2020,1,202001,India,Export,Nepal,100829,"Cereals; millet, other than seed",kg,101620,101620,28493.963
C,M,2020,1,202001,India,Export,Netherlands,100829,"Cereals; millet, other than seed",kg,200,200,112.593
C,M,2020,1,202001,India,Export,Qatar,100829,"Cereals; millet, other than seed",kg,39000,39000,14628.799
C,M,2020,1,202001,India,Export,Saudi Arabia,100829,"Cereals; millet, other than seed",kg,688000,688000,249250.679
C,M,2020,1,202001,India,Export,Singapore,100829,"Cereals; millet, other than seed",kg,550,550,291.683
C,M,2020,1,202001,India,Export,South Africa,100829,"Cereals; millet, other than seed",kg,126050,126050,48621.688
C,M,2020,1,202001,India,Export,Spain,100829,"Cereals; millet, other than seed",kg,24000,24000,9310.028
C,M,2020,1,202001,India,Export,United Arab Emirates,100829,"Cereals; millet, other than seed",kg,88575,88575,35797.091
C,M,2020,1,202001,India,Export,Tunisia,100829,"Cereals; millet, other than seed",kg,392000,392000,138147.004
C,M,2020,1,202001,India,Export,Uganda,100829,"Cereals; millet, other than seed",kg,350,350,110.631
C,M,2020,1,202001,India,Export,Egypt,100829,"Cereals; millet, other than seed",kg,192000,192000,64593.098
C,M,2020,1,202001,India,Export,United Kingdom,100829,"Cereals; millet, other than seed",kg,201700,201700,111989.59
C,M,2020,1,202001,India,Export,USA,100829,"Cereals; millet, other than seed",kg,7261,7261,5837.533
C,M,2020,1,202001,India,Export,Yemen,100829,"Cereals; millet, other than seed",kg,100000,100000,29630.974
C,M,2020,2,202002,India,Export,World,100829,"Cereals; millet, other than seed",kg,4768144.704,4768144.704,1764145.136
C,M,2020,2,202002,India,Export,Afghanistan,100829,"Cereals; millet, other than seed",kg,140000,140000,72034.362
C,M,2020,2,202002,India,Export,Algeria,100829,"Cereals; millet, other than seed",kg,314000,314000,105847.45
C,M,2020,2,202002,India,Export,Australia,100829,"Cereals; millet, other than seed",kg,20,20,158.255
C,M,2020,2,202002,India,Export,Bahrain,100829,"Cereals; millet, other than seed",kg,2010,2010,1180.94
C,M,2020,2,202002,India,Export,Canada,100829,"Cereals; millet, other than seed",kg,13733,13733,11433.121
C,M,2020,2,202002,India,Export,Sri Lanka,100829,"Cereals; millet, other than seed",kg,266500,266500,98778.301
C,M,2020,2,202002,India,Export,Dem. Rep. of the Congo,100829,"Cereals; millet, other than seed",kg,123.704,123.704,45.725
C,M,2020,2,202002,India,Export,France,100829,"Cereals; millet, other than seed",kg,88,88,97.199
C,M,2020,2,202002,India,Export,Ghana,100829,"Cereals; millet, other than seed",kg,1000,1000,741.284
C,M,2020,2,202002,India,Export,Iran,100829,"Cereals; millet, other than seed",kg,318000,318000,155558.398
C,M,2020,2,202002,India,Export,Israel,100829,"Cereals; millet, other than seed",kg,10000,10000,4756.141
C,M,2020,2,202002,India,Export,Japan,100829,"Cereals; millet, other than seed",kg,21000,21000,10229.494
C,M,2020,2,202002,India,Export,Kenya,100829,"Cereals; millet, other than seed",kg,4400,4400,974.932
C,M,2020,2,202002,India,Export,Rep. of Korea,100829,"Cereals; millet, other than seed",kg,46000,46000,22115.294
C,M,2020,2,202002,India,Export,Kuwait,100829,"Cereals; millet, other than seed",kg,56940,56940,24033.279
C,M,2020,2,202002,India,Export,Libya,100829,"Cereals; millet, other than seed",kg,175000,175000,64519.78
C,M,2020,2,202002,India,Export,Malaysia,100829,"Cereals; millet, other than seed",kg,750,750,414.073
C,M,2020,2,202002,India,Export,Maldives,100829,"Cereals; millet, other than seed",kg,2500,2500,1638.864
C,M,2020,2,202002,India,Export,"Other Asia, nes",100829,"Cereals; millet, other than seed",kg,139000,139000,62628.189
C,M,2020,2,202002,India,Export,Morocco,100829,"Cereals; millet, other than seed",kg,120000,120000,45240.74
C,M,2020,2,202002,India,Export,Oman,100829,"Cereals; millet, other than seed",kg,25330,25330,11412.266
C,M,2020,2,202002,India,Export,Namibia,100829,"Cereals; millet, other than seed",kg,1013500,1013500,316295.234
C,M,2020,2,202002,India,Export,Nepal,100829,"Cereals; millet, other than seed",kg,175435,175435,49078.082
C,M,2020,2,202002,India,Export,Philippines,100829,"Cereals; millet, other than seed",kg,1200,1200,825.782
C,M,2020,2,202002,India,Export,Qatar,100829,"Cereals; millet, other than seed",kg,82000,82000,26580.466
C,M,2020,2,202002,India,Export,Saudi Arabia,100829,"Cereals; millet, other than seed",kg,975000,975000,321990.024
C,M,2020,2,202002,India,Export,Seychelles,100829,"Cereals; millet, other than seed",kg,400,400,325.476
C,M,2020,2,202002,India,Export,Singapore,100829,"Cereals; millet, other than seed",kg,1558,1558,1612.777
C,M,2020,2,202002,India,Export,South Africa,100829,"Cereals; millet, other than seed",kg,20000,20000,10428.019
C,M,2020,2,202002,India,Export,Spain,100829,"Cereals; millet, other than seed",kg,44000,44000,20502.684
C,M,2020,2,202002,India,Export,Switzerland,100829,"Cereals; millet, other than seed",kg,150,150,111.649
C,M,2020,2,202002,India,Export,United Arab Emirates,100829,"Cereals; millet, other than seed",kg,130743,130743,48958.027
C,M,2020,2,202002,India,Export,Tunisia,100829,"Cereals; millet, other than seed",kg,564000,564000,199180.318
C,M,2020,2,202002,India,Export,Uganda,100829,"Cereals; millet, other than seed",kg,1500,1500,547.123
C,M,2020,2,202002,India,Export,United Kingdom,100829,"Cereals; millet, other than seed",kg,101421,101421,72383.002
C,M,2020,2,202002,India,Export,USA,100829,"Cereals; millet, other than seed",kg,843,843,1488.386
