typeCode,freqCode,refYear,refMonth,period,reporterDesc,flowDesc,partnerDesc,cmdCode,cmdDesc,qtyUnitAbbr,qty,netWgt,primaryValue
C,M,2024,1,202401,India,Export,World,91030,Spices; turmeric (curcuma),kg,10491910,10491910,17059479.1
C,M,2024,1,202401,India,Export,Angola,91030,Spices; turmeric (curcuma),kg,2340,2340,6728.455
C,M,2024,1,202401,India,Export,Australia,91030,Spices; turmeric (curcuma),kg,85715,85715,197526.986
C,M,2024,1,202401,India,Export,Austria,91030,Spices; turmeric (curcuma),kg,700,700,1706.882
C,M,2024,1,202401,India,Export,Bahrain,91030,Spices; turmeric (curcuma),kg,69734,69734,112811.284
C,M,2024,1,202401,India,Export,Bangladesh,91030,Spices; turmeric (curcuma),kg,1561000,1561000,1847288.99
C,M,2024,1,202401,India,Export,Belgium,91030,Spices; turmeric (curcuma),kg,30000,30000,45248.544
C,M,2024,1,202401,India,Export,Bhutan,91030,Spices; turmeric (curcuma),kg,2172,2172,12143.985
C,M,2024,1,202401,India,Export,Botswana,91030,Spices; turmeric (curcuma),kg,96,96,248.511
C,M,2024,1,202401,India,Export,Brazil,91030,Spices; turmeric (curcuma),kg,269200,269200,339908.954
C,M,2024,1,202401,India,Export,Belarus,91030,Spices; turmeric (curcuma),kg,26000,26000,26807.724
C,M,2024,1,202401,India,Export,Cameroon,91030,Spices; turmeric (curcuma),kg,824,824,3150.433
C,M,2024,1,202401,India,Export,Canada,91030,Spices; turmeric (curcuma),kg,132214,132214,286848.125
C,M,2024,1,202401,India,Export,Sri Lanka,91030,Spices; turmeric (curcuma),kg,900,900,1864.32
C,M,2024,1,202401,India,Export,Chile,91030,Spices; turmeric (curcuma),kg,15100,15100,35948.645
C,M,2024,1,202401,India,Export,Colombia,91030,Spices; turmeric (curcuma),kg,8000,8000,12402.239
C,M,2024,1,202401,India,Export,Costa Rica,91030,Spices; turmeric (curcuma),kg,2000,2000,4246.966
C,M,2024,1,202401,India,Export,Fiji,91030,Spices; turmeric (curcuma),kg,6050,6050,11849.462
C,M,2024,1,202401,India,Export,France,91030,Spices; turmeric (curcuma),kg,129748,129748,247858.08
C,M,2024,1,202401,India,Export,Georgia,91030,Spices; turmeric (curcuma),kg,985,985,2680.873
C,M,2024,1,202401,India,Export,Germany,91030,Spices; turmeric (curcuma),kg,385263,385263,789017.476
C,M,2024,1,202401,India,Export,Guatemala,91030,Spices; turmeric (curcuma),kg,4000,4000,9130.155
C,M,2024,1,202401,India,Export,Guinea,91030,Spices; turmeric (curcuma),kg,300,300,1116.453
C,M,2024,1,202401,India,Export,"China, Hong Kong SAR",91030,Spices; turmeric (curcuma),kg,1875,1875,4787.185
C,M,2024,1,202401,India,Export,Hungary,91030,Spices; turmeric (curcuma),kg,500,500,1620.729
C,M,2024,1,202401,India,Export,Indonesia,91030,Spices; turmeric (curcuma),kg,257500,257500,417834.66
C,M,2024,1,202401,India,Export,Iran,91030,Spices; turmeric (curcuma),kg,677340,677340,992505.623
C,M,2024,1,202401,India,Export,Iraq,91030,Spices; turmeric (curcuma),kg,201751,201751,296021.982
C,M,2024,1,202401,India,Export,Ireland,91030,Spices; turmeric (curcuma),kg,1224,1224,3745.048
C,M,2024,1,202401,India,Export,Israel,91030,Spices; turmeric (curcuma),kg,178750,178750,307954.06
C,M,2024,1,202401,India,Export,Japan,91030,Spices; turmeric (curcuma),kg,231843,231843,431780.979
C,M,2024,1,202401,India,Export,Jordan,91030,Spices; turmeric (curcuma),kg,57000,57000,60372.568
C,M,2024,1,202401,India,Export,Kenya,91030,Spices; turmeric (curcuma),kg,3970,3970,6165.91
C,M,2024,1,202401,India,Export,Rep. of Korea,91030,Spices; turmeric (curcuma),kg,78113,78113,154494.147
C,M,2024,1,202401,India,Export,Kuwait,91030,Spices; turmeric (curcuma),kg,69140,69140,92899.81
C,M,2024,1,202401,India,Export,Kyrgyzstan,91030,Spices; turmeric (curcuma),kg,2,2,14.17
C,M,2024,1,202401,India,Export,Lebanon,91030,Spices; turmeric (curcuma),kg,23500,23500,31698.876
C,M,2024,1,202401,India,Export,Libya,91030,Spices; turmeric (curcuma),kg,18000,18000,21153.186
C,M,2024,1,202401,India,Export,Malawi,91030,Spices; turmeric (curcuma),kg,1210,1210,1874.497
C,M,2024,1,202401,India,Export,Malaysia,91030,Spices; turmeric (curcuma),kg,559643,559643,1056204.238
C,M,2024,1,202401,India,Export,Maldives,91030,Spices; turmeric (curcuma),kg,2421,2421,5911.12
C,M,2024,1,202401,India,Export,Mauritius,91030,Spices; turmeric (curcuma),kg,37300,37300,57290.196
C,M,2024,1,202401,India,Export,Mexico,91030,Spices; turmeric (curcuma),kg,100,100,7286.261
C,M,2024,1,202401,India,Export,"Other Asia, nes",91030,Spices; turmeric (curcuma),kg,34200,34200,85065.103
C,M,2024,1,202401,India,Export,Morocco,91030,Spices; turmeric (curcuma),kg,119000,119000,184608.551
C,M,2024,1,202401,India,Export,Mozambique,91030,Spices; turmeric (curcuma),kg,2255,2255,5623.755
C,M,2024,1,202401,India,Export,Oman,91030,Spices; turmeric (curcuma),kg,101290,101290,159099.138
C,M,2024,1,202401,India,Export,Nepal,91030,Spices; turmeric (curcuma),kg,198605,198605,273199.361
C,M,2024,1,202401,India,Export,Netherlands,91030,Spices; turmeric (curcuma),kg,169214,169214,309048.404
C,M,2024,1,202401,India,Export,Curaçao,91030,Spices; turmeric (curcuma),kg,328,328,1633.696
C,M,2024,1,202401,India,Export,New Zealand,91030,Spices; turmeric (curcuma),kg,8717,8717,19239.39
C,M,2024,1,202401,India,Export,Nigeria,91030,Spices; turmeric (curcuma),kg,12894,12894,29771.656
