typeCode,freqCode,refYear,refMonth,period,reporterDesc,flowDesc,partnerDesc,cmdCode,cmdDesc,qtyUnitAbbr,qty,netWgt,primaryValue
C,M,2020,1,202001,India,Export,World,91030,Spices; turmeric (curcuma),kg,8942112,8942112,14698342.85
C,M,2020,1,202001,India,Export,Algeria,91030,Spices; turmeric (curcuma),kg,72000,72000,56619.667
C,M,2020,1,202001,India,Export,Angola,91030,Spices; turmeric (curcuma),kg,800,800,1392.579
C,M,2020,1,202001,India,Export,Azerbaijan,91030,Spices; turmeric (curcuma),kg,15000,15000,15199.785
C,M,2020,1,202001,India,Export,Argentina,91030,Spices; turmeric (curcuma),kg,3350,3350,4749.69
C,M,2020,1,202001,India,Export,Australia,91030,Spices; turmeric (curcuma),kg,80616,80616,188876.367
C,M,2020,1,202001,India,Export,Austria,91030,Spices; turmeric (curcuma),kg,65,65,123.529
C,M,2020,1,202001,India,Export,Bahrain,91030,Spices; turmeric (curcuma),kg,59090,59090,67853.22
C,M,2020,1,202001,India,Export,Bangladesh,91030,Spices; turmeric (curcuma),kg,1800110,1800110,1719672.957
C,M,2020,1,202001,India,Export,Belgium,91030,Spices; turmeric (curcuma),kg,39385,39385,57475.145
C,M,2020,1,202001,India,Export,Brazil,91030,Spices; turmeric (curcuma),kg,7400,7400,15079.733
C,M,2020,1,202001,India,Export,Belize,91030,Spices; turmeric (curcuma),kg,120,120,296.702
C,M,2020,1,202001,India,Export,Brunei Darussalam,91030,Spices; turmeric (curcuma),kg,4165,4165,7202.142
C,M,2020,1,202001,India,Export,Bulgaria,91030,Spices; turmeric (curcuma),kg,3500,3500,9824.599
C,M,2020,1,202001,India,Export,Canada,91030,Spices; turmeric (curcuma),kg,79923,79923,157565.603
C,M,2020,1,202001,India,Export,Sri Lanka,91030,Spices; turmeric (curcuma),kg,89496,89496,102041.953
C,M,2020,1,202001,India,Export,Chile,91030,Spices; turmeric (curcuma),kg,80,80,225.131
C,M,2020,1,202001,India,Export,China,91030,Spices; turmeric (curcuma),kg,19250,19250,19874.245
C,M,2020,1,202001,India,Export,Colombia,91030,Spices; turmeric (curcuma),kg,14850,14850,22868.761
C,M,2020,1,202001,India,Export,Dem. Rep. of the Congo,91030,Spices; turmeric (curcuma),kg,200,200,549.382
C,M,2020,1,202001,India,Export,Costa Rica,91030,Spices; turmeric (curcuma),kg,9000,9000,22273.982
C,M,2020,1,202001,India,Export,Czechia,91030,Spices; turmeric (curcuma),kg,1055,1055,2441.11
C,M,2020,1,202001,India,Export,Dominican Rep.,91030,Spices; turmeric (curcuma),kg,5000,5000,8349.584
C,M,2020,1,202001,India,Export,Ecuador,91030,Spices; turmeric (curcuma),kg,12000,12000,22616.656
