typeCode,freqCode,refYear,refMonth,period,reporterDesc,flowDesc,partnerDesc,cmdCode,cmdDesc,qtyUnitAbbr,qty,netWgt,primaryValue
C,M,2024,1,202401,India,Export,World,100829,"Cereals; millet, other than seed",kg,4886504,4886504,1942807.892
C,M,2024,1,202401,India,Export,Australia,100829,"Cereals; millet, other than seed",kg,2879,2879,4143.298
C,M,2024,1,202401,India,Export,Bahrain,100829,"Cereals; millet, other than seed",kg,127350,127350,41675.935
C,M,2024,1,202401,India,Export,Bhutan,100829,"Cereals; millet, other than seed",kg,500,500,270.657
C,M,2024,1,202401,India,Export,Canada,100829,"Cereals; millet, other than seed",kg,66283,66283,86461.535
C,M,2024,1,202401,India,Export,Equatorial Guinea,100829,"Cereals; millet, other than seed",kg,2640,2640,1429.729
C,M,2024,1,202401,India,Export,Germany,100829,"Cereals; millet, other than seed",kg,1200,1200,1081.749
C,M,2024,1,202401,India,Export,Israel,100829,"Cereals; millet, other than seed",kg,13200,13200,5497.364
C,M,2024,1,202401,India,Export,Italy,100829,"Cereals; millet, other than seed",kg,510,510,377.163
C,M,2024,1,202401,India,Export,Japan,100829,"Cereals; millet, other than seed",kg,300,300,248.054
C,M,2024,1,202401,India,Export,Kenya,100829,"Cereals; millet, other than seed",kg,5770,5770,2583.918
C,M,2024,1,202401,India,Export,Kuwait,100829,"Cereals; millet, other than seed",kg,102594,102594,38246.761
C,M,2024,1,202401,India,Export,Malaysia,100829,"Cereals; millet, other than seed",kg,13000,13000,8238.828
C,M,2024,1,202401,India,Export,Maldives,100829,"Cereals; millet, other than seed",kg,3000,3000,2747.479
C,M,2024,1,202401,India,Export,Morocco,100829,"Cereals; millet, other than seed",kg,186000,186000,67005.343
C,M,2024,1,202401,India,Export,Oman,100829,"Cereals; millet, other than seed",kg,420,420,621.452
C,M,2024,1,202401,India,Export,Nepal,100829,"Cereals; millet, other than seed",kg,1950720,1950720,709512.481
C,M,2024,1,202401,India,Export,Netherlands,100829,"Cereals; millet, other than seed",kg,24000,24000,42063.419
C,M,2024,1,202401,India,Export,New Zealand,100829,"Cereals; millet, other than seed",kg,808,808,619.311
C,M,2024,1,202401,India,Export,Papua New Guinea,100829,"Cereals; millet, other than seed",kg,30,30,104.69
C,M,2024,1,202401,India,Export,Philippines,100829,"Cereals; millet, other than seed",kg,2576,2576,1895.055
C,M,2024,1,202401,India,Export,Poland,100829,"Cereals; millet, other than seed",kg,19000,19000,34325.354
C,M,2024,1,202401,India,Export,Portugal,100829,"Cereals; millet, other than seed",kg,23500,23500,13138.498
C,M,2024,1,202401,India,Export,Qatar,100829,"Cereals; millet, other than seed",kg,46000,46000,19442.503
