typeCode,freqCode,refYear,refMonth,period,reporterDesc,flowDesc,partnerDesc,cmdCode,qtyUnitAbbr,qty,netWgt,primaryValue
C,M,2021,1,202101,India,Export,World,121190,kg,9479200.84,9479200.84,32776036.98
C,M,2021,1,202101,India,Export,Afghanistan,121190,kg,83500,83500,601215.335
C,M,2021,1,202101,India,Export,Angola,121190,kg,40,40,867.517
C,M,2021,1,202101,India,Export,Argentina,121190,kg,13450,13450,80410.823
C,M,2021,1,202101,India,Export,Australia,121190,kg,151255,151255,870397.937
C,M,2021,1,202101,India,Export,Austria,121190,kg,60000,60000,393510.994
C,M,2021,1,202101,India,Export,Bahrain,121190,kg,6057,6057,14452.761
C,M,2021,1,202101,India,Export,Bangladesh,121190,kg,919286,919286,1227870.446
C,M,2021,1,202101,India,Export,Belgium,121190,kg,134652,134652,542387.323
C,M,2021,1,202101,India,Export,Bhutan,121190,kg,414,414,479.185
C,M,2021,1,202101,India,Export,Brazil,121190,kg,69500,69500,148009.127
C,M,2021,1,202101,India,Export,Brunei Darussalam,121190,kg,1500,1500,6063.51
C,M,2021,1,202101,India,Export,Bulgaria,121190,kg,10300,10300,11991.084
C,M,2021,1,202101,India,Export,Myanmar,121190,kg,32000,32000,112401.063
C,M,2021,1,202101,India,Export,Canada,121190,kg,185770,185770,956508.491
C,M,2021,1,202101,India,Export,Sri Lanka,121190,kg,203698,203698,220615.92
C,M,2021,1,202101,India,Export,Chile,121190,kg,12700,12700,14491.909
C,M,2021,1,202101,India,Export,China,121190,kg,1119300,1119300,1278971.643
C,M,2021,1,202101,India,Export,Dem. Rep. of the Congo,121190,kg,30,30,84.588
C,M,2021,1,202101,India,Export,Costa Rica,121190,kg,21500,21500,85767.114
C,M,2021,1,202101,India,Export,Czechia,121190,kg,1993,1993,28302.314
C,M,2021,1,202101,India,Export,Benin,121190,kg,10,10,94.847
C,M,2021,1,202101,India,Export,Denmark,121190,kg,50115,50115,284839.604
C,M,2021,1,202101,India,Export,Dominican Rep.,121190,kg,12000,12000,8678.728
C,M,2021,1,202101,India,Export,El Salvador,121190,kg,5,5,25.647
C,M,2021,1,202101,India,Export,Estonia,121190,kg,1000,1000,7751.915
